Stkcd,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30
1,0.004534000000000001,-0.10956099999999999,0.034562,0.033408,-0.113793,-0.148346,0.0,,,-0.073672,0.135018,-0.109723,-0.036608,-0.030399000000000002,0.040496,0.009415999999999999,0.131841,-0.02967,-0.033408999999999994,0.015816999999999998,-0.028258,-0.048070999999999996,0.052369000000000006,-0.081161,0.005158,0.067351,0.027644,-0.081287,0.054105999999999994,-0.052536,-0.033779,-0.003958,-0.060265,-0.0747,0.009747,-0.027356000000000002,0.25156300000000004,0.317104,0.090047,-0.125217,-0.070577,0.12245999999999999,-0.23279699999999998,-0.038114,0.10636099999999996,0.119698,0.170034,-0.021583,-0.09926499999999999,-0.069388,-0.023684,-0.032345,0.034355000000000004,0.032316000000000004,0.048286,0.096872,-0.057038,-0.010731999999999998,0.087771,0.127833,0.273312,-0.120581,0.004307,0.125804,0.283535,-0.082635,-0.050914,-0.14993099999999998,-0.104369,-0.052394,0.082936,0.033451,0.021294999999999998,-0.165972,-0.044000000000000004,0.112971,-0.006579000000000001,-0.0018920000000000002,0.004295,0.057471,0.031522,-0.044257,0.00882,0.043716000000000005,-0.04712,0.025275,0.016077,-0.0327,-0.019629,0.023359,0.020652,0.152801,0.05717000000000001,-0.015071000000000001,0.038704,0.159445,-0.005979,0.056391,-0.142349,-0.095436,-0.004587,-0.061751,-0.107073,0.052175,0.07537200000000001,0.09081900000000001,-0.01267,-0.050412,-0.094595,0.183369,0.113514,0.037217,0.080343,-0.12057799999999999,0.14363299999999998,0.025399,0.002123,0.100989,0.042976,-0.059655999999999994,0.07586699999999999
2,-0.062446,-0.135985,0.009636,0.007423000000000002,-0.178947,-0.066826,-0.059639,0.222714,0.015681999999999998,-0.002375,0.15476199999999998,-0.161856,0.01107,-0.002433,-0.004878,0.064951,-0.024166,-0.063769,0.077806,-0.035503,0.0,-0.11165599999999999,0.104972,-0.1175,0.058074,0.024096,0.082353,0.0,0.08454099999999999,0.030067,-0.036757,0.05041,-0.13109400000000002,0.051122,-0.013049000000000002,0.05168300000000002,0.15657100000000002,0.18675899999999998,-0.000833,-0.103333,0.025093,0.10283699999999996,-0.177796,-0.033503,-0.0063030000000000004,-0.034884,0.008762,-0.04886,-0.083333,-0.080946,-0.089431,0.203869,-0.023486,0.142649,-0.032749,0.197098,-0.078788,0.006579000000000001,0.023965,0.159574,0.275229,-0.056115,-0.028201,0.083922,0.05644,-0.017123,0.011847,0.010236,-0.026798000000000002,-0.07753600000000001,0.07384099999999999,0.102414,0.621102,,,,,,,-0.268932,0.454492,0.049739,-0.047764999999999995,0.082665,-0.238325,0.006326,-0.007253,0.002435,-0.052478,0.09025599999999999,0.174506,-0.064077,0.027624,0.130004,0.10323800000000001,0.078039,-0.005125,0.20927199999999999,-0.129393,0.018043,-0.14689100000000002,-0.098944,-0.038687,-0.052033,0.071976,0.010395,-0.002881,0.049937999999999996,-0.063679,0.164987,0.008648999999999999,0.097535,-0.05989600000000001,-0.075485,0.041573,0.03416,-0.067328,0.0038759999999999997,0.024324000000000002,0.044101,0.161733
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,0.036000000000000004,0.09845599999999999,-0.08963099999999999,-0.131274,-0.063333,0.142349,0.174455,0.007073,0.054434,0.070774,-0.063764,0.009136,0.131687,-0.041455,-0.0478,-0.021514,-0.000814,0.0978,-0.103192,-0.139073,0.039423,-0.000925,-0.25092600000000004,0.02225,0.140266,-0.13785799999999998,0.0492,0.10082100000000001,-0.097977,-0.057851,-0.005013,0.02267,0.013547,-0.12029200000000001,0.129834,0.13936400000000002,0.07832599999999999,-0.050746,0.11530399999999999,0.10244400000000001,-0.14748499999999998,0.009000000000000001,0.205154,0.046875,-0.083268,0.071979,-0.068745,0.055794,0.146341,-0.094326,0.054033000000000005,-0.023031,0.055513,0.052594000000000016,-0.006845,0.290145,0.194444,0.001789,-0.304911,0.11432200000000001,0.078963,0.280983,0.056297,0.334781,0.138716,-0.235065,0.085229,-0.206508,0.281546,0.225846,0.152108,-0.3899780000000001,-0.03,0.356038,,,,,,0.017106,0.065136,0.057142999999999985,0.064486,-0.147216,0.018543,-0.076923,,,-0.2875,-0.130214,0.037651,0.039741000000000005,-0.017034,0.080304,-0.12441300000000001,-0.09740800000000001,0.019802,0.109223,-0.087527,0.081535,-0.13082,-0.064286,-0.052345,-0.085155,-0.022642,0.043758,-0.011714,-0.06425499999999999,0.296667,0.114139,0.16659000000000002,-0.149525,-0.013022999999999998,-0.128181,0.07243200000000001,-0.05241900000000002,-0.032447000000000004,0.094557,0.134606
5,-0.044444,-0.104651,0.037106,0.06619,-0.19630899999999998,-0.08977,-0.12155999999999999,0.21932100000000002,0.042827,-0.10266900000000001,-0.009153,-0.110855,-0.046752999999999996,-0.046322,0.214286,-0.047059,-0.046914,,,,,,,,,,,,0.028497,-0.110831,-0.147309,-0.09302300000000001,0.018315,0.02518,0.017544,-0.13103399999999998,0.178571,0.043771,-0.029032,-0.10299000000000001,-0.033333,0.05364,-0.170909,-0.039474,0.173516,-0.042802,0.077236,0.003774,-0.06015,-0.06,0.0,0.076596,-0.094862,-0.017467,0.004444,0.106195,0.032,0.531008,-0.012657999999999999,0.025641000000000004,0.025,,,,,2.858537,-0.41972200000000004,-0.174292,-0.22427399999999997,0.051019999999999996,0.652104,-0.08716900000000001,0.077253,-0.306773,-0.0043100000000000005,0.10678199999999999,-0.0691,-0.026611000000000003,0.084892,-0.050398,0.048882999999999996,-0.023968,0.004093,0.008152,-0.088949,-0.029586,0.0,-0.045732,-0.070288,-0.106529,0.007692,-0.057252,-0.010121,0.03272,-0.06336599999999999,-0.112051,-0.014286000000000004,-0.02657,-0.052109,0.010471,-0.07253899999999999,-0.039106,-0.139535,0.064189,-0.060316999999999996,-0.006756999999999999,-0.07142899999999999,0.098901,-0.10666700000000001,0.055970000000000006,0.215548,0.09593,-0.124668,-0.081818,0.0033,-0.039474,0.061644000000000004,0.025806,-0.050314,-0.029800999999999998,0.054608000000000004
6,-0.116225,-0.12091800000000001,0.042169,0.153179,-0.204678,-0.12775799999999998,-0.05494500000000002,0.7306199999999999,-0.083987,-0.096577,-0.013531999999999999,-0.056241,0.013081,0.020086,0.015471,0.085873,-0.008929000000000001,-0.092664,0.08023999999999999,-0.005164,-0.057093,-0.07156,0.051383000000000005,-0.12405999999999999,-0.120172,0.070732,0.200456,0.045541000000000005,0.15245,-0.03622,-0.066993,-0.06021,-0.021951,0.0,0.034913,-0.06988,0.282383,0.117172,-0.057865999999999994,-0.136276,-0.022222,0.136364,-0.08544700000000001,-0.051642999999999994,0.17821800000000002,-0.029412,0.030302999999999997,0.216387,-0.148532,-0.11359000000000001,-0.016018,0.253488,-0.100186,-0.028866000000000006,0.005023,0.08515299999999999,0.080483,0.091248,0.071672,0.10509600000000001,0.01585,-0.078014,0.010768999999999999,0.339422,0.327273,0.33561599999999997,-0.123528,-0.13633,-0.09471,-0.114043,0.251064,-0.056122000000000005,0.036937,-0.35273699999999997,-0.013423,0.129252,-0.044578,-0.069357,0.01522,0.008140999999999999,0.144011,0.136471,0.018634,-0.024390000000000002,-0.015625,-0.08254,0.012687,-0.056948,0.004831,0.008413,0.071685,-0.034052,-0.007051000000000002,0.16568,,,,,,-0.251777,-0.05156,-0.008584,-0.12885,0.0,-0.076792,0.053604,-0.110526,0.06311599999999999,-0.038961,-0.007722,0.18677,0.106557,-0.096296,-0.1,0.028168000000000002,-0.029358,0.0018899999999999998,-0.050943,0.039761000000000005,-0.021033,0.046875
7,-0.067639,-0.01707,0.124457,-0.028314,0.088742,-0.144769,0.001422,0.076705,0.03562,0.054777,0.0,0.062802,-0.028408999999999997,-0.023392,0.038323,0.009226999999999999,0.045714,-0.144262,0.01788,0.031368,-0.006083,-0.067319,0.052493,0.001247,-0.180573,0.06535,0.309558,0.257081,-0.004333,0.366406,-0.054777,0.113881,-0.033878,-0.036318,0.044834,-0.214552,0.14568499999999998,0.263994,0.073811,-0.19653800000000002,0.026616,0.048764999999999996,-0.220129,0.081509,-0.002094,-0.062238,0.090977,-0.032126,-0.019774,-0.028818,-0.041543000000000004,-0.05959800000000001,-0.005761,-0.047185000000000005,,,,0.44569899999999996,0.024638999999999998,-0.042815,-0.10539200000000001,-0.009589,-0.08852,0.452959,0.37859,0.104924,,,,,,-0.251286,0.089286,,,,,,,-0.262295,0.276353,0.085714,0.061678,-0.012781,0.005492,-0.071011,,,,,,0.056489,-0.062612,0.059796,,,,,,-0.139856,-0.05164,0.002943,-0.017608000000000002,0.0007469999999999999,-0.087313,-0.359771,-0.074074,-0.013793000000000001,0.127273,-0.404466,0.43125,0.055313,-0.13103399999999998,0.13333299999999998,-0.043417000000000004,-0.030747000000000007,0.208459,0.0475,0.06801900000000001,0.11843599999999999,-0.050949
8,0.24543600000000002,-0.215798,0.152648,0.174775,-0.056748,0.118699,-0.281977,0.12044500000000001,0.113821,0.068938,-0.037936000000000004,-0.022082,-0.034677,0.007519,0.086235,-0.100763,0.039898,-0.07836699999999999,0.096546,0.020194,-0.038005000000000004,-0.14238699999999999,0.042226,-0.08379400000000001,-0.29949699999999996,0.007174,0.099715,0.21502600000000002,-0.06823,0.160183,0.127219,-0.160105,0.171875,-0.022222,0.012727,-0.11849200000000001,0.092668,0.147251,0.120227,0.07106599999999999,-0.07244400000000001,0.272992,-0.057339,0.09732400000000001,-0.013304,0.079775,-0.010406,0.05678200000000001,-0.104478,-0.047777999999999994,0.12135399999999999,-0.011446,-0.023158,-0.057112,-0.04,,,0.9226190000000001,0.247678,0.209429,-0.093558,0.15300999999999998,0.016097,0.50541,,,,0.016786000000000002,-0.139824,0.059574,0.571084,-0.095092,-0.001695,-0.288625,-0.128878,0.480822,-0.008326,0.07835800000000001,-0.057958,-0.078972,-0.057826999999999996,0.025397,0.012384000000000001,0.025484,-0.073559,-0.065451,0.005741,-0.002283,-0.075515,-0.122525,0.028242000000000007,0.035713999999999996,0.068966,0.12034700000000001,0.016611,-0.076253,0.03184,-0.053714,-0.086957,-0.095238,-0.12134500000000001,-0.071547,-0.102151,,-0.21283000000000002,0.12820499999999999,0.002273,-0.147392,0.034574,-0.06426699999999999,0.282967,-0.010707,-0.07142899999999999,-0.11188800000000004,-0.007873999999999999,-0.04244,-0.041551,-0.00867,0.0,0.023324,0.034187999999999996
9,-0.129952,-0.050091000000000004,0.084372,0.05128200000000002,-0.058032000000000014,-0.12053599999999999,-0.126904,0.15814,0.128207,0.066964,0.11045999999999999,0.292389,-0.022157,0.059034,0.23198200000000002,-0.168647,-0.039582,-0.071551,0.061652,0.113821,-0.012577,-0.150106,-0.02301,0.080204,-0.35769,0.18348599999999998,-0.045736,-0.176279,0.096647,0.028776999999999997,-0.125874,-0.18,0.073171,0.0125,-0.016835,-0.121005,0.14285699999999998,0.10340899999999999,-0.061791999999999986,0.093304,-0.004016,0.30746,-0.151889,0.093222,-0.048897,0.038306,-0.042718,-0.0070989999999999985,-0.034729,-0.008466,0.19317,-0.057245000000000004,-0.045541000000000005,0.014911,,,0.540257,0.016832,-0.024078,0.026985000000000002,-0.027777999999999997,0.009266,0.159908,0.101583,0.34012,-0.096515,-0.193373,-0.343961,0.034468,-0.041629,0.5108590000000001,0.25,-0.102,-0.3402,-0.073418,0.25045500000000004,-0.0036420000000000003,-0.062865,0.068643,0.004084,0.116371,-0.083039,0.0,-0.013487,0.011719,-0.08204600000000001,0.026288,-0.060451,-0.08506,-0.123957,0.10067999999999999,0.18047,-0.09944700000000001,0.047786,-0.093437,-0.067485,-0.048684,-0.123098,-0.047319,0.004967,-0.041186,-0.015463999999999999,-0.144852,0.028538,-0.07968099999999999,0.0043289999999999995,-0.133621,0.186567,-0.09643600000000001,-0.055684000000000004,0.267813,0.300388,-0.078987,-0.06310700000000001,-0.013817,-0.012819999999999998,-0.017093999999999998,-0.041304,0.034013999999999996,-0.019737,0.384787
10,0.08014600000000001,-0.037099,0.093695,0.10488399999999999,0.060145000000000004,,,,,,,,,,,,,,,,,,,,,,,-0.301435,0.163405,0.063919,0.090909,-0.029710000000000007,0.41000699999999995,,-0.229343,0.046048,0.228647,,,,0.276471,,,0.0037700000000000003,0.15525899999999998,-0.004335,0.21045,-0.09592300000000001,0.017241,-0.100391,0.056522,-0.13305899999999998,-0.129747,-0.047273,0.253817,0.050227999999999995,0.071014,0.052774,0.053985000000000005,-0.06707300000000001,-0.03268,,,,,1.358108,-0.38051599999999997,-0.23311700000000002,-0.137515,-0.13706300000000002,0.410049,0.042529000000000004,0.113561,-0.170297,-0.045346,0.04125,0.069628,-0.131313,0.011628,-0.01788,0.084525,0.008393000000000001,-0.073722,-0.0025670000000000003,-0.010296,-0.075423,-0.002813,-0.043724,-0.081121,-0.20064200000000001,0.014056,-0.027723,0.03055,0.057312,0.127103,-0.149254,0.05653,-0.121771,-0.065126,0.013483000000000002,-0.279379,0.08923099999999999,0.10452,0.186701,-0.028017,0.068736,-0.091286,-0.047945,-0.218225,-0.092024,0.199324,-0.016901,-0.020057,0.002924,-0.034985,0.102719,-0.076712,-0.002967,0.053571,-0.067797,0.030302999999999997
11,-0.101681,-0.089804,0.026720999999999998,0.176176,-0.295319,-0.14130399999999999,0.139241,0.19012300000000001,-0.070539,-0.07142899999999999,0.048076999999999995,-0.15711,-0.070748,0.026354000000000002,0.078459,0.022487,0.201811,0.139935,0.149197,-0.079704,-0.148214,-0.140461,-0.0036590000000000004,-0.155447,-0.105797,-0.012966,0.31855500000000003,-0.165629,0.21791,-0.050245,-0.034839,-0.22593600000000005,0.032815,0.020066999999999998,0.013115,-0.079288,0.26361999999999997,0.009736,-0.022039,-0.130986,0.197731,0.17456,-0.086406,-0.015132,0.161332,-0.055126999999999995,-0.066511,-0.00875,-0.015132,-0.079385,-0.048679,0.156433,-0.136536,0.008785,0.011389,0.061103,0.103933,0.050891000000000006,0.066586,0.11010199999999999,0.02045,-0.068136,0.008602,0.280384,0.21815199999999998,0.23034899999999997,-0.162945,0.080537,-0.367081,0.007851,0.4703020000000001,-0.072185,0.036403,-0.320937,0.288032,0.12047200000000001,-0.013352000000000001,-0.09669,0.062698,-0.002987,0.16853900000000002,0.089103,0.07121799999999999,-0.086264,0.126278,-0.113187,0.035521,-0.056977,0.063502,0.04873,0.11669500000000001,-0.0455,0.041382999999999996,-0.024145,-0.003093,-0.111686,-0.022701,-0.0017870000000000004,-0.07458200000000001,0.031593,-0.12375,-0.03281,-0.16150499999999998,0.022584,0.021200999999999998,0.00519,-0.234079,0.09662899999999999,-0.059426,-0.014161000000000003,0.19779000000000002,0.076568,-0.07455,-0.089033,-0.001046,0.025131,0.028600999999999998,-0.047666,-0.055265999999999996,-0.005519,0.044395
12,-0.039686,-0.068878,0.06904099999999999,0.11686300000000001,0.0073430000000000014,-0.069506,-0.225233,0.302732,0.298658,0.020672,0.194304,0.171171,-0.10633499999999999,-0.038987,0.178082,-0.078712,-0.102427,-0.135749,0.055283000000000006,-0.023030000000000002,-0.020471,-0.104497,-0.12376199999999996,-0.158999,-0.130518,0.090508,0.09919,-0.174954,0.082589,0.036579,-0.087221,-0.1,-0.112346,-0.013908000000000002,-0.00141,-0.036723,0.209677,0.049697000000000005,-0.003464,-0.130939,0.0,0.491367,-0.160326,-0.06796100000000001,0.00463,-0.013825,0.036215,0.032694,-0.111354,-0.024569999999999998,0.005038,-0.012531,-0.035532999999999995,-0.018696,-0.046089,0.087848,-0.009420999999999999,0.07065199999999999,-0.010152,0.052564,0.082826,0.012373,0.015556,0.189278,0.4250229999999999,0.035372,-0.13990999999999998,-0.126687,-0.12274700000000001,-0.131115,0.106982,0.012208,0.34170900000000004,-0.20898899999999998,-0.090909,0.13333299999999998,0.036765,0.007229999999999999,0.037104000000000005,-0.054100999999999996,0.120849,-0.07078200000000001,0.030115,0.191745,-0.181818,0.002646,0.022867,-0.06190900000000001,-0.087076,-0.10843399999999999,0.050676,0.074206,-0.002317,-0.03252,-0.006002,0.109903,-0.080522,0.031952999999999995,-0.083716,-0.05757200000000001,-0.042497,-0.058252,-0.154227,0.028283,-0.05501,0.018711000000000002,-0.144898,0.0023870000000000002,-0.05,0.022556,0.208333,0.123732,-0.115523,-0.04898,-0.007474,0.009615,-0.009524,0.014422999999999997,0.026066000000000002,0.009238,0.146453
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,-0.15897999999999998,-0.159355,0.029162999999999998,0.029082999999999998,-0.19058,-0.053715,-0.070009,0.366226,-0.076775,-0.12692,0.036111000000000004,-0.12958,-0.056468,-0.01197,0.085903,0.021297999999999997,-0.102284,-0.120575,0.003774,-0.034735,-0.075619,-0.132581,0.052033,-0.078825,-0.177852,0.012245,0.243952,-0.144246,0.547348,-0.095471,0.316089,-0.247423,0.12876700000000002,0.010922,-0.015606,-0.207317,0.304615,0.146226,-0.001029,-0.085479,-0.032658,0.16530799999999998,-0.158458,0.019048,0.24299099999999998,0.0,-0.006579000000000001,0.081362,-0.102362,-0.087719,0.001068,0.056563,0.038383999999999995,-0.11089500000000001,0.10032999999999999,0.136454,0.07362,0.24,0.009217,0.054795,-0.146568,0.043477999999999996,-0.029167000000000002,0.46995699999999996,0.05644800000000001,0.044219,0.057976,-0.257822,0.096121,-0.174359,0.399379,-0.013759,0.026552999999999997,-0.246383,-0.06980800000000001,0.130081,0.12008900000000006,-0.088933,0.006513,0.022678,0.092397,0.036249,0.041977999999999994,-0.017457,-0.052847000000000005,-0.14718599999999998,0.055838,-0.030449,-0.055647,-0.010502,-0.00626,-0.003563,0.010131,-0.011798999999999999,-0.017313,-0.234508,-0.14444400000000002,0.12708699999999998,-0.126749,0.15928399999999998,-0.153659,0.270893,0.159492,-0.145466,-0.20686999999999997,0.020212,-0.15,0.016648,0.014191999999999996,0.003229,0.199571,0.102862,-0.14923,-0.074357,-0.0013779999999999999,-0.030114,0.040685,-0.032922,-0.053191999999999996,-0.017978,0.065217
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.05487,-0.054616,0.070151,0.017995,-0.271465,-0.093588,-0.089866,0.151563,-0.016453,0.08736100000000001,-0.029060000000000002,-0.07746499999999999,-0.091603,-0.046218,0.123348,-0.039216,-0.026531,-0.048218000000000004,-0.03304,-0.070842,-0.081081,-0.029412,0.093664,-0.06801,-0.145946,-0.015823,0.180064,-0.13624,0.09148300000000001,0.109827,-0.03125,-0.16151300000000002,0.025723000000000003,-0.003135,0.003145,-0.11598699999999999,0.12056700000000001,0.10759500000000001,-0.017143000000000002,-0.08139500000000001,0.079114,0.0058649999999999996,-0.116808,0.192053,-0.022222,-0.019886,0.098551,0.052770000000000004,-0.032581,0.025907,0.11868699999999999,-0.002257,-0.063348,-0.021734,0.09901,0.164414,-0.104449,0.144708,0.04717,0.113514,-0.030744,0.24540900000000002,0.28686300000000003,0.021875,0.629969,0.500938,0.257083,,,-0.645213,0.246729,0.109445,-0.066216,-0.399421,0.183133,0.038697,-0.043137,0.012295,-0.026316000000000003,0.051975,0.021738999999999998,-0.075435,0.018828,0.014374000000000001,-0.08704500000000001,0.0022170000000000002,0.0,-0.026549,0.045455,0.0,0.063043,0.153374,0.062057000000000015,-0.041736,0.052265,0.026489999999999996,-0.022581,0.145215,-0.138329,0.168896,-0.11874100000000001,-0.125,0.00352,-0.087619,-0.137787,0.021792,-0.151659,0.01676,-0.10989000000000004,0.009259,0.302752,0.312207,-0.141324,-0.09791699999999999,-0.030023,0.031411,0.040188999999999996,-0.045455,-0.028571,-0.012255,0.084367
17,,,,2.2598599999999998,-0.161119,-0.11746,-0.088129,0.09072999999999999,0.184448,0.027481000000000002,-0.121842,-0.045685,-0.111702,0.07784400000000001,0.022222,0.068841,-0.074576,-0.080586,0.015936000000000002,-0.001961,-0.035363,-0.044807,-0.053305,-0.164414,-0.264151,0.12454200000000001,0.143322,-0.173789,0.044827,0.056105999999999996,-0.00625,-0.066038,0.104377,0.033537,0.469027,-0.158635,,,,,,,,,,,,,0.050119,0.297727,-0.11383499999999999,0.254941,-0.040945,-0.07225,0.051327,0.013468,0.07142799999999999,0.47751899999999997,-0.132214,0.029020999999999998,-0.190364,0.177068,0.134402,0.13587,0.45933,0.6629510000000001,-0.242902,-0.371875,-0.19403,-0.149177,0.46312,-0.050413,0.209748,-0.20575500000000002,-0.01721,0.151152,-0.01281,-0.14436300000000002,0.005686999999999999,0.118756,-0.069082,-0.049774,0.061904999999999995,0.023318000000000002,0.10429400000000001,-0.08492100000000001,0.076323,-0.17082999999999998,-0.061224,-0.18323,0.110266,-0.08105,0.014907,-0.044064,-0.056338,-0.093623,-0.07185599999999999,-0.056451999999999995,-0.073504,0.031365,-0.078712,0.05436900000000002,-0.162063,0.074725,-0.212679,0.21039000000000002,-0.070815,0.073903,-0.062365,-0.073394,0.25,0.065347,-0.118959,-0.065401,0.009029,-0.040268,0.312354,-0.152753,-0.09643600000000001,-0.011601,0.061033000000000004
18,-0.046563,0.015116,0.021764,0.053812,-0.11063800000000001,-0.138756,-0.097222,0.23538499999999998,0.21419699999999997,-0.10359000000000004,-0.010297,-0.062428,-0.04439,0.04,0.022333000000000002,0.024272,-0.028436000000000006,-0.115854,0.0,0.035862,-0.037284,0.113416,-0.06832300000000001,-0.062667,-0.347084,0.098039,0.355159,-0.070278,0.007873999999999999,-0.04375,-0.03268,-0.138513,0.158823,0.09306299999999999,0.044892,-0.037037,0.029231,0.127055,0.01061,0.11810999999999999,-0.088028,0.22265100000000002,-0.070526,-0.053228,0.175837,0.03764,-0.127451,0.089888,-0.013402,-0.049112,0.021978,-0.046236,0.001127,0.10585599999999999,0.063136,,,,0.512452,0.10703,0.4702520000000001,0.067315,-0.108276,0.096075,0.143603,0.630789,-0.34,-0.208788,-0.127154,0.096972,0.3176,-0.004857,0.500915,-0.23841500000000002,-0.013344,0.342169,-0.100161,0.019261,0.016171,-0.11503699999999999,0.013928,-0.088828,-0.055276,0.087234,0.046967,-0.07850499999999999,-0.0070989999999999985,0.050051,-0.088521,-0.16755599999999998,-0.029487,-0.025206,0.10929000000000001,-0.028325,-0.074778,-0.019178,-0.145251,-0.071895,0.054577,0.020033000000000002,-0.03928,0.008518000000000001,-0.4391890000000001,0.045926,-0.21865900000000002,-0.029851,-0.215385,0.147059,-0.09401699999999999,-0.056603999999999995,0.375,-0.018182,-0.151852,-0.35371199999999997,-0.074324,-0.12408800000000005,-0.125,-0.095238,-0.13684200000000002,-0.402439,-0.448979
19,0.068648,0.0,-0.034516000000000005,0.10923499999999996,-0.062668,-0.188157,-0.117647,0.265333,0.22444699999999998,-0.128227,0.064166,0.013915,-0.021958000000000002,0.014032,0.07749099999999999,-0.09503400000000001,0.122044,-0.11467100000000001,-0.027619,0.05093,-0.068034,-0.102,0.144766,-0.057392999999999986,-0.203302,0.011658,0.10371300000000001,0.33758699999999997,-0.13356500000000002,0.13613599999999998,-0.23788499999999999,-0.109827,0.050649,-0.002472,-0.017348,-0.112232,0.196023,0.009501,-0.034118,-0.049939,-0.030769,0.125661,-0.165687,0.094161,0.185185,-0.10044600000000001,-0.06451599999999999,0.034483,-0.026923000000000002,-0.028986,0.070556,0.051965,-0.019277000000000002,-0.085995,0.067742,0.033233,0.165205,0.200753,-0.075235,0.00565,-0.135955,0.107932,0.024648,0.23482199999999998,0.434137,0.214748,-0.190628,-0.25,-0.191228,-0.056399,0.7471260000000001,0.121053,0.000587,-0.279179,0.489015,-0.055191,0.078658,-0.115282,0.232727,0.00885,0.231725,0.014243,0.018139,-0.0063219999999999995,-0.063621,-0.092032,0.095238,-0.054658000000000005,-0.13994700000000002,-0.14744100000000002,0.203897,-0.061627,0.06392300000000001,,,,,,,,-0.196708,-0.031762,0.024339,0.038223,-0.11741300000000005,0.013529,-0.170189,-0.017426,-0.025921,-0.033613,0.173913,0.034568,-0.10381900000000001,-0.034621,-0.000153,-0.061538,-0.035767,-0.055640999999999996,-0.00491,-0.037829,0.039316000000000004
20,-0.11129000000000001,-0.161525,0.05519500000000002,0.153846,-0.21777800000000005,0.11931800000000001,-0.20203,0.19211199999999998,0.168623,-0.07032000000000001,0.039293,-0.038751999999999995,-0.073746,-0.087049,0.094186,0.012752,-0.066107,-0.070787,-0.007254999999999998,0.001218,-0.053528,-0.138817,0.014925,0.0,-0.225,0.037951,0.133455,-0.054839,0.204778,0.103399,-0.078306,-0.153203,0.009868,0.026059,-0.015872999999999998,-0.148387,0.17803,0.049839,0.012251,-0.071104,0.001629,0.073171,-0.184848,0.180297,0.026772000000000004,0.015337,-0.05438099999999999,0.079872,-0.031065,-0.007634,0.018461,0.164653,0.079118,-0.090144,0.060765999999999994,,,,,,,,,0.722291,0.091829,0.371523,0.353452,-0.453086,0.035877,-0.177582,1.392802,-0.024,-0.019015999999999998,-0.33155100000000004,0.0985,0.08784700000000001,-0.025105000000000002,-0.13476400000000002,0.07738099999999999,-0.133517,0.179065,-0.017575,0.013761,0.149321,-0.118504,-0.09513200000000001,0.040474,0.139943,-0.073658,-0.137466,,,0.014062,-0.036466000000000005,0.13113,-0.293591,-0.056037000000000003,-0.123675,-0.10080700000000001,0.350673,-0.10092999999999999,0.098228,-0.049092000000000004,-0.012023,-0.149606,-0.004209,-0.146238,0.049505,-0.013207,-0.053537,0.22222199999999998,0.033058,-0.0592,-0.048469,-0.024128999999999998,-0.040293,0.053435,0.002718,-0.036134,-0.041237,0.043011
