Stkcd,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30
1,70939012.02,71260664.59,63453279.51,65646365.2,67839450.9,60119789.25,51201240.75,54374986.71,,,50369062.5,57169817.55,50896975.0,49033610.89,47543038.8,49468361.08,49934164.86,56517524.9,54840631.3,53008469.78,53846919.37,52325293.62,49809953.1,52418454.38,48164113.0,48412541.7,51673168.3,53101633.29,48785184.74,51424739.61,48723077.56,47077237.47,46890915.95,44065039.56,40773359.36,40866520.12,39748591.0,49747835.51,65523054.26,71423234.51,62479803.4,58070195.01,65181464.88,49536681.53,47648623.46,52716568.81,59026657.64,69063176.86,75832265.5,68304797.97,63565281.38,62059787.87,60052463.19,62115546.89,64122871.56,66308390.92,72731807.2,68583834.19,99744261.2,108498935.0,122368699.2,155813520.5,137025400.3,137615603.0,154928216.4,197127711.5,180838116.2,171630953.6,145898114.6,130670884.2,123824532.5,134094060.0,138579600.8,141530614.4,118040545.8,112846761.8,125595140.7,124768856.9,128632460.9,127291269.4,134606859.6,138849901.9,132704806.1,133875300.5,139727772.7,133143741.5,157844843.4,160382541.9,155137965.1,152092727.0,155645504.8,158859922.8,180514949.6,190834923.3,187958865.0,195233600.6,226362701.5,225009262.4,237697754.6,203861775.3,184406018.8,183560119.6,174793112.2,156077543.2,161743724.6,173934599.8,189731226.8,187327392.3,177883756.6,161056914.7,190589739.2,212224250.1,220122563.6,237807917.8,209133605.7,236606000.5,242615586.9,243130681.2,294517161.1,307174409.3,288849736.6
2,108290854.3,104382386.0,90187926.46,91056975.0,91732901.65,75317540.3,69620444.3,65468221.79,80048902.45,81304192.84,81111071.24,93663975.13,78503929.67,79412515.57,79219297.77,78832862.17,83953133.86,81924346.96,75741377.38,81614986.85,78717413.36,78717413.36,69928107.08,77268626.61,68189562.98,72149580.1,73912987.0,79999938.87,79999938.87,86763218.73,89371912.39,86086890.74,89180592.56,77489528.96,81450963.73,80388139.77,84542815.26,97779804.62,116042961.7,115946339.7,103965218.0,106574010.6,115753095.8,95172620.52,92105440.6,91524944.13,88332213.52,89106208.82,84752485.26,77699767.08,71410246.7,65023964.48,78280338.19,76441863.0,82731383.37,79986721.25,95751939.59,88207847.38,88788162.17,90915983.05,105423852.7,134922814.4,127351606.1,123760135.5,134146280.2,141717488.5,139290819.2,141101231.0,137798422.9,134105658.4,123639165.1,132768844.2,146366238.7,237274532.9,,,,,,,166396967.0,242023126.4,254061180.1,241926045.4,261924747.3,199501614.5,200783521.3,199327161.1,199812614.5,189326821.3,206414780.6,242435421.9,226900913.5,225543905.4,254865584.0,281177421.4,303120134.6,301566668.2,364676241.3,317489698.9,323418010.7,275910829.2,248611201.4,238993183.1,226557765.4,233649839.5,236078632.0,235398570.1,247153925.9,231415350.4,269595968.7,271927609.5,298450023.7,280574110.8,259395040.2,270178878.9,279408290.4,250651387.1,251622904.1,257743461.2,269110210.2
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,703074.11,,,728384.78,800098.34,728384.78,632766.7,592691.47,677060.37,795176.82,955361.13,1007364.98,1078660.59,1009881.3,1019107.79,1153311.28,1105501.29,1052658.66,1030011.82,1029173.05,1129825.67,1013236.38,872322.71,906712.36,905873.59,678566.42,693650.05,790945.58,681907.48,715457.67,787590.56,710425.14,669326.16,665971.14,681068.73,690295.03,607258.32,686101.25,781719.28,842948.36,800171.88,892434.88,983859.13,838754.59,846303.38,1019925.58,1067734.59,978826.61,1049281.99,977149.1,1031668.15,1182643.97,1071089.61,1128963.68,1102962.29,1164191.37,1225420.46,1217032.91,1570148.59,1875455.26,1878810.28,1305940.9,1455239.21,1570148.59,2011333.51,2124565.38,2835829.27,3229205.17,2470132.27,2680659.67,2127081.64,2725952.42,3341598.29,3807950.48,2322932.75,2253244.77,3055486.19,,,,,,3107733.44,3310159.22,3499311.18,3724966.14,3176679.46,3235583.68,2986692.62,,,2128018.49,1850919.79,1920609.28,1996935.87,1962920.76,2120551.76,1856727.25,1675866.42,1710071.59,1896851.25,1730824.89,1871947.3,1627058.41,1522461.79,1442769.14,1319909.63,1290024.88,1346473.84,1330701.34,1245197.76,1614606.43,1798895.7,2096561.64,1783072.59,1759851.18,1534271.77,1645402.8,1552966.18,1502577.38,1644657.27
5,5756580.94,5500732.9,4925074.81,5107823.41,5445908.32,4376829.0,3983919.51,3499635.72,4267179.84,4449928.44,3993056.94,3956507.22,3517910.58,3353436.84,3198100.52,3883407.78,3700659.18,3527048.01,,,,,,,,,,,,3627559.74,3225512.81,2750366.45,2494518.41,2540205.56,2604167.57,2649854.72,2302632.38,2713816.73,2832603.32,2750366.45,2467106.12,2384869.25,2512793.27,2083334.06,2001097.19,2348319.53,2247807.8,2421418.97,2430556.4,2284357.52,2147296.07,2147296.07,2311769.81,2092471.49,2055921.77,2065059.2,2284357.52,2357456.96,3609284.88,3563597.73,3654972.03,3746346.33,,,,,14455414.37,8388160.8,6926171.99,5372808.88,5646931.78,9329316.1,8516084.83,9173979.79,6359651.33,6332239.04,7008408.86,6524125.07,6350513.9,6889622.27,6542399.93,6862209.98,6697736.24,6725148.53,6779973.11,6176902.73,6240019.34,6240019.34,5954652.6,5536114.72,4946356.79,4984405.69,4699038.95,4651477.83,4803673.42,4499282.24,3995134.33,3938060.98,3833426.51,3633669.8,3671718.7,3405376.41,3272205.26,2815618.48,2996350.75,2815618.48,2796594.03,2596837.32,2853667.38,2549276.19,2993987.86,3639335.07,3988457.33,3491222.6,3205577.11,3216156.58,3089203.03,3279633.35,3364269.05,3194997.65,3099782.49
6,6372844.67,5589345.94,4913493.87,5120689.4,5905072.46,4696431.89,4045343.44,3823071.82,6616285.15,6060606.11,5475290.85,5401200.31,5097429.1,5164110.58,5267837.34,5349336.93,5821011.07,5769037.76,5248723.77,5623207.18,5594171.69,5274781.26,4897319.85,5148960.79,4510179.94,3968184.07,4248853.92,5100560.4,5332843.98,6145836.53,5956968.11,5557890.18,5188013.08,5074129.86,5074129.86,5251281.53,4884324.51,6263586.42,6997501.59,6592582.87,5694169.47,5567632.37,6361680.65,5691159.51,5397249.86,6359135.98,6172102.56,6359135.98,7735167.5,6597531.0,5848115.72,5754438.81,7213122.13,6490471.68,6303117.86,6132148.91,6654318.8,7189877.66,7845937.26,8408274.06,9291946.17,9439224.86,8702831.43,8796554.23,11782294.86,15638318.63,20886795.43,18203984.02,15722232.33,14233181.31,12609981.56,15775891.82,14890510.14,15426462.47,9984982.22,9850955.61,11124208.38,10628309.94,9891163.6,9913765.73,9994474.81,11433786.8,12994162.41,13236289.66,12913453.32,12711680.62,11660143.38,11808080.61,11135638.66,11189434.01,11283575.89,11848427.12,11444961.95,11366679.4,13249916.23,,,,,,9936730.79,9424389.17,9343493.13,7900847.01,7900847.01,7294346.13,7685355.44,6835921.42,7267379.97,6984235.29,6930302.98,8224678.63,9101078.81,8221495.69,7399346.12,7345434.67,7129788.88,7146032.25,6781989.1,7051650.69,6903336.82
7,1394638.84,1300306.5,1278110.66,1437180.87,1396488.49,1520415.28,1300306.5,1302156.16,1402037.45,1451978.1,1531513.21,1531513.21,1627695.19,1581453.85,1544460.78,1603649.7,1618446.93,1692433.07,1448278.79,1474173.94,1520415.28,1511167.02,1409436.07,1483422.21,1485271.86,1217072.09,1296607.19,1697982.03,2134500.29,2125252.02,2903956.2,2744885.99,3057477.45,2953896.85,2846616.94,2974243.04,2336112.53,2674513.83,3380570.7,3630093.41,2916643.28,2994272.57,3140289.56,2449019.23,2648637.4,2643092.45,2478592.29,2704086.89,2617216.02,2565206.4,2491281.14,2387785.78,2245479.66,2232542.74,2127199.25,,,,3424730.67,3509114.05,3358870.46,3005952.21,2977128.02,2713592.48,3942738.69,5435420.44,6005727.82,,,,,,4496575.09,4898055.01,,,,,,,3614692.12,4613624.13,5009077.63,5318025.67,5250057.1,5278892.25,4904035.29,,,,,,5181058.7,4856663.25,5147074.41,,,,,,4427225.47,4198603.92,4210961.84,4136814.31,4139903.79,3778434.58,2419063.18,2239873.32,2208978.51,2490121.23,1482950.61,2122473.06,2239873.32,1946372.68,2205889.03,2110115.14,2045236.05,2471584.35,2588984.61,2765084.99,3092569.92
8,509916.9,635068.92,498022.29,574044.38,674372.86,636103.23,711608.17,510951.21,815340.02,908142.94,970748.1,933921.54,913298.66,881627.82,888256.6,964855.85,867633.73,902250.7,831543.7,911825.6,930238.88,894885.38,767465.49,799872.86,732848.52,513362.23,517044.89,568602.07,690866.25,643728.25,746842.62,841855.14,707069.93,828597.58,810184.3,820495.73,723273.62,790297.96,906669.88,1015676.5,1087856.55,1009047.72,1284510.38,1210857.26,1328702.25,1311025.5,1415612.93,1400882.3,1480427.67,1325756.12,1262414.44,1415612.93,1399409.24,1367001.87,1288929.57,1237372.38,,,2378995.71,2968220.66,3589852.97,3253994.75,3751889.83,3812285.39,5739050.95,,,,5835389.23,5019459.99,5318043.45,8355094.76,7560591.89,7547777.32,11066693.79,10932406.85,16188947.67,16054164.57,17312140.16,16279892.71,14994244.62,14127179.63,14485965.14,14665357.9,15039092.81,13935530.19,13044047.91,17477314.78,17568078.84,16241427.57,14251450.68,14633365.44,15108866.54,16150857.33,17957996.5,18256302.09,16864209.33,17589143.52,16644355.24,19276498.09,17486723.86,15364796.84,14265485.25,12808258.27,,9905519.99,11175458.45,11215469.55,9562395.81,9893010.56,9310872.33,11945542.25,11950172.45,11096588.7,9855012.34,9751547.65,9337688.86,8974447.24,8896634.11,8896634.11,9104135.78
9,12470072.6,10849556.03,10306090.11,11188746.43,11762528.3,11079925.73,10552294.48,9213170.82,10670137.36,11998548.04,12812131.09,14227362.31,18387284.37,17989961.54,19051980.73,23471696.99,19513261.8,18793115.19,17448444.67,18524181.08,20703614.89,20422961.09,17357358.06,16957966.11,18318057.6,11765870.82,13924746.2,13287877.96,10945498.18,12003347.11,12348767.17,10794376.9,8851389.06,9499051.67,9617789.82,9455874.16,8311786.3,9499338.95,10481656.95,9833974.75,10751524.54,10708345.72,14000730.24,11874173.69,12947706.93,12314597.58,12786326.12,12240114.13,12153216.76,11731143.86,11631832.59,13878750.09,13084259.93,12488392.3,12674600.94,,,19469974.64,19797701.83,19321007.73,19842391.91,19291214.35,19469974.64,22583382.98,24877473.34,33338793.61,30121108.43,24296502.4,15939458.96,16460843.14,15775595.37,23834704.99,29793381.24,26754456.35,17652578.38,16356566.3,21352344.05,21274586.06,19937148.64,21305689.26,21497464.47,23999141.8,22006280.2,22006280.2,21709471.03,21963878.89,20161823.19,20691839.57,19441000.91,17787349.8,15582481.65,17151330.14,20246625.81,18190364.2,19059600.72,17278725.9,16112676.92,15328243.96,13441364.69,12805337.97,12868940.64,12338918.38,12146821.11,10387333.93,10641717.62,9793425.48,9835821.27,8521552.05,10111393.84,9136290.87,8627541.5,10938111.58,14223784.63,13100296.43,12273578.69,12103995.57,11905156.59,11701649.64,11218320.64,11599896.17,11370950.85
10,744376.43,804035.01,774205.72,846745.14,935555.07,991823.97,,,,,,,,,,,,,,,,,,,,,,,692853.11,806068.83,857592.15,935555.07,907759.6,1279947.81,,986400.46,1031822.34,1267744.92,,,,1618239.1,,,1624340.55,1876533.66,1868398.4,2261602.7,2044662.4,2079915.2,1871110.15,1976868.55,1713828.43,1491464.61,1420959.01,1781622.27,1871110.15,2646783.54,2786464.95,2936891.07,2739904.48,2650365.12,,,,,6249847.47,3871682.01,2969125.24,2560825.75,2516927.64,3548990.35,3699924.42,4120092.24,3418452.77,3263439.4,3398056.28,3634655.63,3157377.62,3194091.31,3136981.12,3402135.57,3430690.67,3177774.12,3169615.52,3136981.12,2900381.77,3702195.92,3540322.76,3253128.43,2600414.06,2636966.06,2563862.06,2642187.78,2793617.51,3148694.13,2678739.78,2830169.52,2485536.33,2323663.17,2354993.46,1697057.37,1848487.1,2041690.56,2422875.75,2354992.78,2516865.9,2287110.5,2177454.52,1702278.59,1545627.19,1853708.29,1822378.0,1785822.59,1791044.29,1728383.85,1905921.77,1759455.09,1754234.15,1848210.98,1722908.54
11,1662873.85,1493791.72,1359643.91,1395975.61,1641913.25,1157024.83,993532.19,1131872.11,1347067.55,1252046.19,1162614.32,1218509.24,1027069.14,954405.75,979558.46,1056413.97,1080169.31,1322938.21,1508064.12,1733061.43,1623094.72,1382528.89,1188337.2,1183989.63,999942.28,895603.46,883992.03,1165592.12,972536.39,1184462.23,1124948.81,1085757.04,844965.21,872692.91,890205.15,901879.97,830371.69,1049274.59,1275830.47,1247712.99,1084280.16,1298675.92,1525373.06,1393572.4,1372484.29,1593909.41,1506715.79,1406502.49,1394195.59,1373098.05,1264452.28,1202900.36,1391073.37,1201141.74,1211693.49,1180038.22,1252141.9,1382280.24,1452625.29,1549349.74,1719936.48,1755109.01,1635522.42,1649591.43,2112110.14,2572870.22,3165527.27,2620353.13,2831388.28,1792040.16,1806109.17,2655525.65,2463835.39,2553525.33,1734005.49,2233455.35,2502525.17,2469111.27,2215869.09,2354800.56,2347766.06,2743456.97,2987906.02,3200699.79,2924595.47,3293906.98,2921078.22,3024837.17,2852491.79,3033630.3,3149699.63,3517252.52,3357217.53,3496149.0,3411734.94,3401183.19,3021319.91,2952733.49,2947457.61,2727629.33,2813802.02,2465594.02,2384697.21,1946799.27,1990764.93,2032971.96,2043523.71,1565177.37,1716419.23,1614418.91,1591556.77,1906350.87,2052316.85,1899316.36,1681246.7,1679488.08,5153872.75,5301276.67,5048584.24,4769569.68,4743247.55
12,11570108.67,11110932.38,10345638.57,11059912.79,12352409.01,12443110.49,11381336.19,8978305.33,11696327.82,15189526.39,15503521.77,24049542.42,28166130.77,25171089.71,24218272.51,28531115.56,26285374.8,23593037.87,20390305.31,21282231.04,20792094.81,20366450.19,18238227.08,15981020.76,13440051.36,11685879.59,12743541.98,14007577.52,11556896.37,12511372.18,12717745.33,11764682.12,10544537.19,9359904.0,9229724.53,9216706.58,8878239.96,10755043.12,11289536.17,11250426.92,9777311.93,9777311.93,14392203.15,12084757.54,11263463.34,11315609.0,11159172.01,11563300.9,11941356.96,10602084.4,10341590.93,10393689.62,10263442.88,9898752.02,9325666.38,8897909.34,9679570.48,9588376.68,10265816.34,10161594.85,10695729.97,11581612.6,11724917.14,11907304.74,14161094.37,20179885.16,20205940.54,17376045.37,15174732.28,13312082.74,11566662.89,12804087.41,12960393.66,17409359.89,13770999.29,12519090.26,14188302.29,14709931.05,14409994.52,14944664.0,14136139.42,15844473.61,14722971.77,15166356.22,18074436.56,14788175.37,14782463.09,15120496.55,14184403.9,12949281.65,11545142.68,12130200.58,12903127.08,12995765.21,12573138.7,12497669.68,13871205.84,12754458.7,13161997.61,12060133.13,11365807.57,10882798.49,10248849.06,8592278.83,8835292.78,8349264.88,8505488.13,7273060.26,7290418.4,7082648.66,7242407.66,8751242.59,9834053.53,8708586.12,8282043.12,8129528.84,8207697.39,8128928.93,8260872.58,8476203.38,8554505.49
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3717403.28,3126410.79,2628202.1,2704849.59,2783514.12,2253032.81,2132010.46,1982752.66,2708887.92,2495081.42,2178405.77,2257070.42,1964599.28,1853661.95,1831474.48,1988803.79,2031161.68,1823406.31,1603548.69,1609607.39,1547078.78,1430089.78,1240486.9,1305032.56,1202162.91,988355.42,1000457.73,1244521.0,1065003.39,1647931.38,1490601.33,1956540.31,1472447.87,1662050.74,1680204.21,1653982.53,1311083.72,1710459.99,1960574.42,1958557.37,1791142.06,1732647.56,2019068.92,1694323.57,1726596.4,2146143.19,2146143.19,2132023.83,2305490.29,2069495.22,1887960.55,1889977.6,1996881.35,2073529.32,1843585.41,2025120.08,2301456.18,2470888.54,3063901.79,3092140.52,3261572.87,2783531.58,2904554.69,2819838.51,4145041.59,4379019.61,4572656.59,4834873.33,3588335.28,3933251.15,3247453.51,4544417.86,4481889.26,4600895.32,3467312.16,3225265.94,3644812.73,4082512.98,3719443.65,3735580.06,3820296.24,4173280.32,4324559.21,4506093.88,4427428.85,4193450.84,3576232.97,3775921.1,3660949.14,3457226.91,3420919.97,3396715.35,3384613.04,3418902.92,3378561.88,3320067.38,2541485.36,2174381.92,2450718.02,2140092.03,2480973.8,2099751.0,2668559.62,3092140.52,2642337.95,2095716.89,2138074.98,1817363.73,1847619.51,1873841.19,1879892.34,2255063.99,2487024.96,2115887.41,1958557.37,1942420.95,1883926.45,1960574.42,1896028.76,1795176.16,1762903.33
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4373334.61,4613307.98,4361345.77,4667299.88,4751287.28,3461480.76,3137529.35,2855571.65,3281507.75,3227515.85,3509473.56,3407488.86,3143528.45,2855571.65,2723591.45,3059541.05,2939559.05,2861570.75,2723591.45,2633604.94,2441633.74,2243663.44,2177673.34,2381642.74,2219667.04,1895715.63,1865715.0,2201663.68,1901709.5,2075682.93,2303648.1,2231659.1,1865735.53,1913728.72,1907729.57,1913728.72,1691760.19,1895731.27,2099702.36,2063707.46,1895731.27,2045710.01,2057708.31,1811743.18,2159693.86,2111700.66,2069706.61,2273677.7,2393660.69,2315671.75,2375663.24,2657623.27,2651624.12,2483647.93,2423656.44,2663622.42,3101560.34,2777606.26,3179549.29,3329528.03,3707474.45,3593490.61,4475365.6,5759183.62,5885165.76,9592640.21,14397959.04,18099434.34,,,6419090.07,8002865.57,8878741.41,8290824.75,4979294.17,5891164.91,8142628.38,7791377.74,7887173.37,7679616.18,8078764.63,8254389.95,7631718.36,7775411.81,7887173.37,7200638.04,7216603.98,7216603.98,7025012.72,7344331.48,7344331.48,7807343.68,9004789.03,9563480.06,9164336.48,9643308.77,9898760.66,9675240.26,11080225.64,9547514.31,11160054.36,9834897.69,8605535.48,8382015.08,7647590.9,6593851.86,6737543.55,5715735.99,5811530.45,5172900.73,5220797.96,6801406.52,8924850.34,7663556.64,6913166.72,6705612.06,6753509.29,7024926.92,6705612.06,6514023.14,6434194.43
17,,,,,872258.16,731721.22,645773.02,588861.37,642288.63,760757.78,781664.1,686424.2,655064.71,581892.59,627189.62,641127.17,685262.73,1058002.55,972742.27,988244.14,986306.4,951427.2,908797.06,860353.72,718899.17,529001.27,594884.22,680144.49,561942.74,587133.28,761208.34,844115.11,788371.66,870659.61,899858.56,1321916.11,1112214.56,,,,,,,,,,,,,1333094.48,1729993.06,1533058.65,1923897.71,1845123.95,1711814.5,1799677.55,1823915.63,1954195.32,2887361.45,2505611.67,2578325.91,2087509.69,2457141.3,2787385.94,3166106.86,4620395.18,7683489.95,5817192.15,3653923.82,2944953.53,2505634.33,3666042.97,3481225.93,4211404.74,3344885.49,3287319.52,3784204.69,3735728.09,3196425.9,3214620.54,3596375.66,3347931.85,3181292.71,3378229.88,3457004.74,3817551.25,3493362.37,3759985.0,3117666.85,2926789.29,2390514.24,2654107.06,2438991.08,2475348.71,2366275.81,2232964.5,2023908.12,1878477.6,1772434.51,1642153.0,1693659.64,1560348.33,1645182.8,1378560.17,1481573.46,1166476.88,1411891.5,1311907.76,1408861.69,1320997.19,1224043.27,1530054.09,1630037.82,1436129.98,1342205.87,1354325.11,1299788.52,1705783.08,1445219.41,1305848.14,1290699.09
18,899478.49,857595.9,870559.55,889506.44,937372.26,833662.99,717987.26,648182.94,800755.24,972274.42,871556.76,862581.92,808732.87,772833.51,803746.85,821696.53,841640.62,817707.71,722973.28,722973.28,748900.6,720978.88,802749.65,747903.4,701034.78,457716.88,502591.08,681090.69,633224.88,638210.9,610289.17,590345.08,508574.31,589347.88,644194.13,673113.06,648182.94,667129.83,751892.22,759869.85,849618.26,774827.92,947344.3,880531.6,833662.99,980252.05,1017148.62,887512.03,967288.39,954324.74,907456.12,927400.21,884520.42,885517.62,979254.85,1041081.53,,,,1574585.95,1743113.52,2562815.64,2735332.03,2439162.28,2673505.34,3057429.09,4986022.65,3290774.95,2603701.03,2272629.12,2493011.33,3284791.72,3268836.45,4900519.41,3700944.35,3651558.92,4901010.37,4410119.17,4495062.11,4602203.2,4072779.66,4129503.61,3762688.73,7082016.11,7699809.0,8061443.87,7428582.85,7375844.44,7745013.36,7059413.93,5876566.56,5703283.19,5514931.69,6120582.71,5947216.45,5502494.31,5396967.02,4613050.03,4281392.83,4515060.4,4605512.36,4420910.34,4458567.16,2500412.66,2583257.66,2017819.89,1957586.46,1947569.25,2230265.8,2110639.59,1991169.43,2737857.96,2688078.73,2279888.99,1473465.38,1363951.06,1194701.66,1045684.17,946095.2,816629.54,487985.94
19,715614.97,764740.18,764740.18,738344.54,1577575.3,1478712.03,1200482.55,1059249.31,1340303.46,1641130.26,1430692.73,1522494.34,1543679.32,1509783.35,1530968.33,1649604.25,1492835.36,1675026.24,1482949.03,1441991.39,1515432.68,1412332.41,1268274.5,1451877.72,1368550.11,1090320.62,1103031.61,1217430.54,1628419.27,1410920.08,1602997.29,1221667.53,1561001.7,1640065.42,1636010.87,1607629.02,1427201.55,1706965.49,1723183.69,1664392.72,1581274.45,1532619.85,1725210.97,1439365.2,1532619.85,1816438.34,1633983.59,1528565.3,1581274.45,1538701.67,1494101.62,1599519.92,1682638.19,1650201.79,1508292.54,1610467.2,1725406.2,2010451.37,2414055.16,2232433.46,2245046.08,1939820.71,2149190.18,2202163.17,2719280.53,3899821.61,4737299.47,3834235.99,2875677.0,2325766.83,2194595.6,3834235.99,4298380.35,4298331.31,3098327.96,4613458.24,4358835.68,4701693.78,4159675.46,5127745.39,5173123.67,6371866.51,6462623.06,6579850.28,6538253.53,6122285.98,5558799.34,6088208.8,5755437.14,4949978.46,4220149.7,5062288.89,4750315.46,5053969.6,,,,,,,,4059814.26,3930865.24,4026537.1,4180443.99,3689517.62,3739432.18,3103021.58,3048947.48,2969916.1,2870086.99,3369232.55,3485699.85,3123893.98,3015743.19,2974146.73,2791122.32,2691290.82,2541273.63,2528796.02,2433134.33
20,801976.16,712723.98,597601.59,630586.1,727599.34,569144.37,637053.65,508349.41,606009.41,708196.69,658396.56,684266.76,657749.8,609243.18,556209.27,608596.43,616357.49,575611.92,534866.36,530985.83,531632.59,503175.37,433325.83,439793.38,439793.38,340839.87,353774.97,400988.08,378998.41,456609.01,503822.12,464370.07,393227.02,397107.55,407455.63,400988.08,341486.62,402281.59,422331.0,427505.04,397107.55,397754.31,426858.28,347954.17,410689.41,421684.24,428151.79,404868.61,437206.36,423624.51,420390.73,428151.79,498648.08,538100.14,489593.51,519344.24,,,,,,,,,894462.12,976600.0,1339429.54,1812854.18,991475.37,1027046.89,844661.99,2021109.28,1972602.66,5420468.5,3623307.82,3980203.64,4329852.84,4221153.61,3652294.28,3934912.29,3409532.66,4020060.03,3949405.52,4003755.14,4601600.93,4056293.1,3670410.82,3818966.44,4353404.35,4032741.6,3478375.51,,,3527290.16,3398662.74,3844329.6,2715669.21,2563490.28,2246450.85,2019994.11,2728350.79,2452979.39,2693929.36,2561678.63,2530880.51,2152244.85,2143186.58,1829770.45,1920353.14,1894989.99,1793537.37,2192101.23,2264567.39,2130505.0,2027240.73,1978326.07,1898613.3,2000065.92,2005500.88,1933034.72,1853321.95
21,11825908.04,11325108.07,11456897.54,11465683.5,12599072.91,12985655.34,13495241.27,13956504.4,15551156.93,17079914.73,20585514.51,17712504.16,16934946.32,15472083.25,14114651.76,15590693.77,14101472.81,13297557.07,11452504.55,10912167.74,11584294.02,9620630.98,8790357.35,9159367.85,8408167.9,6760799.58,7090273.24,8025978.45,7419746.91,8250020.54,7933725.82,7090273.24,6563115.38,6418146.97,6510399.6,6246820.66,5456083.87,6206992.39,6167457.41,6114744.1,5851177.54,5416292.73,7564360.16,5864355.87,6839552.13,7696143.44,7933353.34,7023968.77,7208463.26,6958157.08,8789944.64,8104671.6,7393041.9,6760482.16,7063583.7,7775213.4,8038779.96,8434129.79,8644983.04,9950643.23,11846703.76,10553267.12,12846177.52,13272423.69,16844072.59,20151154.9,22047215.43,22414669.02,17505489.05,12787384.95,11640929.75,16138561.69,21679761.84,17725961.21,11670326.03,11464552.02,13566386.56,13257725.55,12596309.08,16182656.13,16829374.44,16153259.84,15344861.94,15447748.94,16006278.4,13860349.43,13933884.73,14374830.45,13610524.53,11714457.94,12419971.09,12611047.57,12375876.52,13517291.49,13869916.48,13605447.74,13340978.99,14296005.02,13120588.37,12767963.37,12841426.91,13724215.28,11769910.53,10021322.08,10138874.24,9095134.53,8962895.09,7919672.87,8933508.55,8448630.62,8566176.78,10814247.19,13782287.86,12166276.49,13297681.43,11945872.93,11989953.64,15957217.72,16353610.22,14943056.24,14061460.0
22,6753395.87,7032269.75,7078748.73,7250720.96,7469172.17,6576775.74,5800576.77,5363674.35,6065506.96,6637198.42,6293253.96,6906776.5,6525648.86,6521000.96,7153115.1,8710160.95,7562130.13,7181002.49,6613958.93,6502409.37,6139873.32,5675083.52,5224237.41,5173110.53,4884940.85,4327193.08,4475925.82,4764095.5,4364376.27,4847757.67,4857053.46,5094096.26,4215643.53,4099446.08,4043671.3,4085502.39,4206347.74,4726912.32,7106636.12,6330437.14,5981844.79,7194946.18,6098042.24,4852405.56,4773125.92,6557819.55,6376561.6,6850620.84,7515233.31,7335606.37,7079929.34,6782414.26,6629008.04,6113005.31,6029329.19,6033977.87,6108356.64,6308249.59,7042739.96,7507607.28,8223502.96,10375838.67,8897560.58,9636699.63,10840706.0,12407308.88,,,,,,9301995.15,8479179.99,8971933.08,5894513.55,7061329.71,7986415.04,7502953.36,7237979.17,7326288.95,7423910.82,7674938.49,7786506.34,7874830.89,9780781.69,8846400.93,8409426.84,8748779.06,9808673.66,11463596.79,11542624.02,13829764.99,13011600.74,12946519.49,11812246.33,11798300.35,11221866.45,,,,,,,,8724781.58,8720760.47,8985730.27,8032768.7,7963039.81,7651584.08,,,,,,,,,,,
